ID;Age;Income;DaysWithoutFrequency;LifetimeValue;NumberOfFrequencies;AttendedClasses;AllowedWeeklyVisitsBySLA;AllowedNumberOfVisitsBySLA;RealNumberOfVisits;NumberOfRenewals;NumberOfReferences;LastPeriodDuration;Recency;EnrollmentDuration_semesters;Monetary;Frequency;Gender;UseByTime;AthleticsActivities;WaterActivities;FitnessActivities;DanceActivities;TeamActivities;RacketActivities;CombatActivities;NatureActivities;SpecialActivities;OtherActivities;HasReferences;Dropout;R_Score;F_Score;M_Score;RFM_Segment;RFM_Score;RFM_Score_Labels
10001;29;2630.0;60;479.2;23.0;1;2.0;17.42;1;2;0;364;1568;2.33;205.66523605150215;9.871244635193133;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1;1;2;5;125;8;Medium Value
10002;23;1980.0;7;37.6;6.0;0;7.0;30.03;6;0;0;180;889;0.17;221.17647058823528;35.29411764705882;1;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;3;5;5;355;13;High Value
10003;9;0.0;22;155.4;20.0;2;2.0;17.72;3;0;0;364;283;1.0;155.4;20.0;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1;4;4;4;444;12;High Value
10004;35;4320.0;210;373.2;41.0;0;7.0;60.97;0;3;0;180;721;4.33;86.18937644341801;9.468822170900692;1;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;3;2;2;322;7;Low Value
10005;24;2220.0;3;140.0;28.0;0;7.0;59.01;26;0;0;365;1190;1.5;93.33333333333333;18.666666666666668;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;4;2;242;8;Medium Value
10006;23;2340.0;16;143.5;22.0;0;7.0;30.03;3;3;0;180;219;7.17;20.0139470013947;3.0683403068340307;1;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;4;1;1;411;6;Low Value
10007;23;1910.0;99;233.9;34.0;0;7.0;60.97;11;5;0;180;191;8.83;26.489241223103058;3.8505096262740657;1;1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;4;1;1;411;6;Low Value
10008;29;3220.0;69;212.6;6.0;0;7.0;60.97;0;2;0;180;945;2.5;85.03999999999999;2.4;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1;3;1;2;312;6;Low Value
10009;14;0.0;74;253.5;6.0;6;2.0;17.72;0;2;0;364;1076;1.17;216.66666666666669;5.128205128205129;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;1;5;215;8;Medium Value
10010;20;1800.0;38;118.6;11.0;0;7.0;60.97;3;2;0;365;1434;1.67;71.01796407185628;6.586826347305389;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;2;1;121;4;Low Value
10011;29;2790.0;64;566.7;194.0;0;7.0;60.97;28;1;0;180;156;3.5;161.91428571428574;55.42857142857143;0;1;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1;4;5;4;454;13;High Value
10012;63;4040.0;58;370.7;21.0;0;7.0;60.97;3;1;0;364;1564;2.0;185.35;10.5;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;3;5;135;9;Medium Value
10013;12;0.0;262;188.6;1.0;0;2.0;17.42;0;0;0;364;719;1.83;103.06010928961749;0.5464480874316939;0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;3;1;2;312;6;Low Value
10014;28;2050.0;44;143.6;92.0;0;7.0;59.01;10;0;0;180;616;1.17;122.73504273504274;78.63247863247864;1;0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;3;5;3;353;11;Medium Value
10015;26;2580.0;279;53.2;6.0;0;7.0;28.98;6;1;0;183;1785;1.67;31.856287425149702;3.5928143712574854;1;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;111;3;Low Value
10016;47;4490.0;35;828.5;296.0;0;7.0;42.0;9;5;0;183;35;10.33;80.20329138431752;28.65440464666021;1;1;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1;5;5;2;552;12;High Value
10017;39;3890.0;42;185.5;67.0;0;7.0;62.02;3;1;0;183;93;2.0;92.75;33.5;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;5;5;2;552;12;High Value
10018;19;1660.0;1;290.6;95.0;0;7.0;34.02;12;1;0;364;1;2.17;133.91705069124424;43.77880184331797;1;1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;5;5;3;553;13;High Value
10020;30;3020.0;244;615.8;41.0;0;7.0;60.97;0;1;0;365;1431;3.67;167.79291553133515;11.1716621253406;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1;1;3;4;134;8;Medium Value
10021;26;2120.0;63;187.6;8.0;0;7.0;60.97;0;0;0;364;520;1.0;187.6;8.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1;3;2;5;325;10;Medium Value
10022;43;3340.0;103;352.2;19.0;19;2.0;68.58;1;1;0;546;1609;2.0;176.1;9.5;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1;1;2;4;124;7;Low Value
10023;24;1710.0;6;969.9;207.0;207;3.0;26.13;11;3;0;364;6;6.33;153.22274881516586;32.70142180094787;1;1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;5;5;4;554;14;High Value
10024;44;2520.0;45;314.7;52.0;0;7.0;60.97;8;2;0;365;1255;2.5;125.88;20.8;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;4;3;243;9;Medium Value
